earthquake_id,location_name,scenario_latitude,scenario_longitude,infrastructure_type,name,infra_latitude,infra_longitude
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.003577,140.635022
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9535863,140.7159965
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.966284,140.725484
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,,39.0028919,140.669777
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,39.0050617,140.6677802
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.004671,140.635465
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9947562,140.6515628
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.985057,140.73332
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,39.005414,140.624367
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,槐橋,38.9824865,140.7155799
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9782844,140.712834
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.9991409,140.6731804
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,仁郷大湯線,38.977196,140.720942
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9655847,140.7376785
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,39.00436,140.620395
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,residential,,38.986481,140.669443
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9394003,140.7191026
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.941669,140.678727
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,38.998868,140.675529
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9883582,140.6578778
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,path,,38.9865162,140.6436018
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,bridge,国道398号,38.9789245,140.7132207
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,secondary,秋ノ宮小安温泉線,39.003013,140.62087
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,trunk,国道398号,38.9822978,140.7126721
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,unclassified,,39.0028539,140.6704521
official20110311054624120_30,"Tohoku-Oki, Japan",38.915,140.735,tertiary,,39.004691,140.626312
